[train: 2, 50 / 937] FPS: 93.8 (489.8)  ,  DataTime: 0.279 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.341  ,  Loss/total: 3.64507  ,  Loss/giou: 0.70744  ,  Loss/l1: 0.10067  ,  Loss/location: 1.70469  ,  pro_loss: 0.11077  ,  IoU: 0.41206
[train: 2, 100 / 937] FPS: 97.1 (495.1)  ,  DataTime: 0.267 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.330  ,  Loss/total: 3.64626  ,  Loss/giou: 0.70003  ,  Loss/l1: 0.09900  ,  Loss/location: 1.72986  ,  pro_loss: 0.10679  ,  IoU: 0.41538
[train: 2, 150 / 937] FPS: 98.8 (491.5)  ,  DataTime: 0.262 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.324  ,  Loss/total: 3.54966  ,  Loss/giou: 0.68750  ,  Loss/l1: 0.09667  ,  Loss/location: 1.66913  ,  pro_loss: 0.11086  ,  IoU: 0.42454
[train: 2, 200 / 937] FPS: 100.4 (486.9)  ,  DataTime: 0.257 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.319  ,  Loss/total: 3.46241  ,  Loss/giou: 0.67737  ,  Loss/l1: 0.09452  ,  Loss/location: 1.61298  ,  pro_loss: 0.11055  ,  IoU: 0.43161
[train: 2, 250 / 937] FPS: 100.3 (132.4)  ,  DataTime: 0.257 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.319  ,  Loss/total: 3.41568  ,  Loss/giou: 0.67430  ,  Loss/l1: 0.09392  ,  Loss/location: 1.57534  ,  pro_loss: 0.11059  ,  IoU: 0.43376
[train: 2, 300 / 937] FPS: 100.6 (490.8)  ,  DataTime: 0.256 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.318  ,  Loss/total: 3.37536  ,  Loss/giou: 0.66975  ,  Loss/l1: 0.09305  ,  Loss/location: 1.54848  ,  pro_loss: 0.11051  ,  IoU: 0.43732
[train: 2, 350 / 937] FPS: 100.0 (29.1)  ,  DataTime: 0.258 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.320  ,  Loss/total: 3.30723  ,  Loss/giou: 0.66074  ,  Loss/l1: 0.09098  ,  Loss/location: 1.50860  ,  pro_loss: 0.11118  ,  IoU: 0.44391
[train: 2, 400 / 937] FPS: 100.0 (487.9)  ,  DataTime: 0.257 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.320  ,  Loss/total: 3.25935  ,  Loss/giou: 0.65487  ,  Loss/l1: 0.08984  ,  Loss/location: 1.47810  ,  pro_loss: 0.11173  ,  IoU: 0.44876
[train: 2, 450 / 937] FPS: 99.9 (32.2)  ,  DataTime: 0.258 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.320  ,  Loss/total: 3.20909  ,  Loss/giou: 0.64894  ,  Loss/l1: 0.08859  ,  Loss/location: 1.44602  ,  pro_loss: 0.11131  ,  IoU: 0.45354
[train: 2, 500 / 937] FPS: 100.1 (492.7)  ,  DataTime: 0.257 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.320  ,  Loss/total: 3.16287  ,  Loss/giou: 0.64289  ,  Loss/l1: 0.08733  ,  Loss/location: 1.41803  ,  pro_loss: 0.11202  ,  IoU: 0.45812
[train: 2, 550 / 937] FPS: 100.1 (31.5)  ,  DataTime: 0.257 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.320  ,  Loss/total: 3.10765  ,  Loss/giou: 0.63418  ,  Loss/l1: 0.08549  ,  Loss/location: 1.38944  ,  pro_loss: 0.11209  ,  IoU: 0.46478
[train: 2, 600 / 937] FPS: 100.5 (491.1)  ,  DataTime: 0.256 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.318  ,  Loss/total: 3.07656  ,  Loss/giou: 0.62988  ,  Loss/l1: 0.08459  ,  Loss/location: 1.37139  ,  pro_loss: 0.11227  ,  IoU: 0.46829
[train: 2, 650 / 937] FPS: 100.3 (31.9)  ,  DataTime: 0.257 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.319  ,  Loss/total: 3.03223  ,  Loss/giou: 0.62314  ,  Loss/l1: 0.08331  ,  Loss/location: 1.34694  ,  pro_loss: 0.11235  ,  IoU: 0.47366
[train: 2, 700 / 937] FPS: 100.5 (486.4)  ,  DataTime: 0.256 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.318  ,  Loss/total: 3.00197  ,  Loss/giou: 0.61869  ,  Loss/l1: 0.08250  ,  Loss/location: 1.32967  ,  pro_loss: 0.11223  ,  IoU: 0.47752
[train: 2, 750 / 937] FPS: 100.5 (32.9)  ,  DataTime: 0.256 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.319  ,  Loss/total: 2.96668  ,  Loss/giou: 0.61379  ,  Loss/l1: 0.08153  ,  Loss/location: 1.30906  ,  pro_loss: 0.11186  ,  IoU: 0.48140
