[train: Epoch 2, 300 / 625] FPS: 118.1 (118.8)  ,  DataTime: 0.007 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.271  ,  Loss/total: 4.24115  ,  Loss/giou: 0.84453  ,  Loss/l1: 0.12384  ,  Loss/location: 1.91995  ,  pro_loss: 0.06469  ,  IoU: 0.30335
[train: Epoch 2, 350 / 625] FPS: 118.2 (119.3)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.271  ,  Loss/total: 4.20943  ,  Loss/giou: 0.84013  ,  Loss/l1: 0.12337  ,  Loss/location: 1.89908  ,  pro_loss: 0.06636  ,  IoU: 0.30764
[train: Epoch 2, 400 / 625] FPS: 118.2 (119.0)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.271  ,  Loss/total: 4.16281  ,  Loss/giou: 0.83434  ,  Loss/l1: 0.12287  ,  Loss/location: 1.86626  ,  pro_loss: 0.06764  ,  IoU: 0.31125
[train: Epoch 2, 450 / 625] FPS: 118.3 (119.3)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.270  ,  Loss/total: 4.11634  ,  Loss/giou: 0.83057  ,  Loss/l1: 0.12227  ,  Loss/location: 1.83014  ,  pro_loss: 0.06847  ,  IoU: 0.31380
[train: Epoch 2, 500 / 625] FPS: 118.4 (118.2)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.270  ,  Loss/total: 4.08118  ,  Loss/giou: 0.82680  ,  Loss/l1: 0.12160  ,  Loss/location: 1.80588  ,  pro_loss: 0.06857  ,  IoU: 0.31612
[train: Epoch 2, 550 / 625] FPS: 118.4 (119.1)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.270  ,  Loss/total: 4.03977  ,  Loss/giou: 0.82294  ,  Loss/l1: 0.12093  ,  Loss/location: 1.77559  ,  pro_loss: 0.06833  ,  IoU: 0.31881
[train: Epoch 2, 600 / 625] FPS: 118.5 (118.7)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.270  ,  Loss/total: 4.00404  ,  Loss/giou: 0.81899  ,  Loss/l1: 0.12014  ,  Loss/location: 1.75160  ,  pro_loss: 0.06889  ,  IoU: 0.32146
[train: Epoch 2, 625 / 625] FPS: 118.5 (119.7)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.270  ,  Loss/total: 3.98139  ,  Loss/giou: 0.81604  ,  Loss/l1: 0.11947  ,  Loss/location: 1.73815  ,  pro_loss: 0.06918  ,  IoU: 0.32344
[train: Epoch 3, 50 / 625] FPS: 113.2 (119.4)  ,  DataTime: 0.018 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.283  ,  Loss/total: 3.59642  ,  Loss/giou: 0.78216  ,  Loss/l1: 0.11527  ,  Loss/location: 1.44205  ,  pro_loss: 0.06857  ,  IoU: 0.35035
[train: Epoch 3, 100 / 625] FPS: 115.9 (119.5)  ,  DataTime: 0.012 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.276  ,  Loss/total: 3.60402  ,  Loss/giou: 0.78531  ,  Loss/l1: 0.11535  ,  Loss/location: 1.44221  ,  pro_loss: 0.07214  ,  IoU: 0.34473
[train: Epoch 3, 150 / 625] FPS: 116.9 (118.8)  ,  DataTime: 0.009 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.274  ,  Loss/total: 3.59099  ,  Loss/giou: 0.78294  ,  Loss/l1: 0.11562  ,  Loss/location: 1.43248  ,  pro_loss: 0.07271  ,  IoU: 0.34660
[train: Epoch 3, 200 / 625] FPS: 117.4 (119.3)  ,  DataTime: 0.008 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.273  ,  Loss/total: 3.56771  ,  Loss/giou: 0.77890  ,  Loss/l1: 0.11490  ,  Loss/location: 1.42067  ,  pro_loss: 0.07367  ,  IoU: 0.35003
[train: Epoch 3, 250 / 625] FPS: 117.7 (117.6)  ,  DataTime: 0.007 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.272  ,  Loss/total: 3.53070  ,  Loss/giou: 0.77317  ,  Loss/l1: 0.11326  ,  Loss/location: 1.40322  ,  pro_loss: 0.07433  ,  IoU: 0.35292
[train: Epoch 3, 300 / 625] FPS: 117.9 (118.6)  ,  DataTime: 0.007 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.272  ,  Loss/total: 3.51275  ,  Loss/giou: 0.77012  ,  Loss/l1: 0.11251  ,  Loss/location: 1.39518  ,  pro_loss: 0.07387  ,  IoU: 0.35540
[train: Epoch 3, 350 / 625] FPS: 118.0 (119.0)  ,  DataTime: 0.007 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.271  ,  Loss/total: 3.49358  ,  Loss/giou: 0.76744  ,  Loss/l1: 0.11185  ,  Loss/location: 1.38461  ,  pro_loss: 0.07419  ,  IoU: 0.35771
